DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=100, mweight=0.001, out_hidden=500, resume=False, seq=4, tasks=1, tau=5, vocab=20)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:14:42 chapter10, epoch 100, loss:0.11492, acc: 10/10 = 100.000%
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=100, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:14:46 chapter100, epoch 100, loss:176.49136, acc: 68/100 = 68.000%
DEBUG:root:14:49 chapter100, epoch 200, loss:101.53800, acc: 80/100 = 80.000%
DEBUG:root:14:52 chapter100, epoch 300, loss:95.12268, acc: 81/100 = 81.000%
DEBUG:root:15:04 chapter100, epoch 400, loss:101.29967, acc: 81/100 = 81.000%
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=100, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:15:06 chapter100, epoch 100, loss:52.24318, acc: 13/100 = 13.000%
DEBUG:root:15:07 chapter100, epoch 200, loss:32.49304, acc: 38/100 = 38.000%
DEBUG:root:15:09 chapter100, epoch 300, loss:25.49993, acc: 48/100 = 48.000%
DEBUG:root:15:10 chapter100, epoch 400, loss:24.18370, acc: 50/100 = 50.000%
DEBUG:root:15:11 chapter100, epoch 500, loss:23.00284, acc: 51/100 = 51.000%
DEBUG:root:15:13 chapter100, epoch 600, loss:21.56803, acc: 54/100 = 54.000%
DEBUG:root:15:15 chapter100, epoch 700, loss:20.95597, acc: 55/100 = 55.000%
DEBUG:root:15:17 chapter100, epoch 800, loss:18.19331, acc: 59/100 = 59.000%
